blackscholes, 318.62
canneal, 319.98
dedup, 318.93
facesim, 319.12
ferret, 318.78
fluidanimate, 318.63
swaptions, 318.52
x264,318.72
hp5, 326.11
hp10, 323.29
mat, 324.48
tran, 330.06
unif, 331.22
